"name","year_start","year_end","years_tot","birth_date","position","height","weight","college"
"Kenny Payne",1990,1993,4,1966-11-25,"F-G",80,195,"University of Louisville"
"Tom Payne",1972,1972,1,1950-11-19,"C",86,240,"University of Kentucky"
"Elfrid Payton",2015,2018,4,1994-02-22,"G",76,185,"University of Louisiana at Lafayette"
"Gary Payton",1991,2007,17,1968-07-23,"G",76,180,"Oregon State University"
"Gary Payton",2017,2018,2,1992-12-01,"G",75,190,"Oregon State University"
"Mel Payton",1952,1953,2,1926-07-16,"F-G",76,185,"Tulane University"
"George Pearcy",1947,1947,1,1919-07-02,"G",73,165,"Indiana State University"
"Henry Pearcy",1947,1947,1,1922-07-21,"G",73,170,"Indiana State University"
"Oleksiy Pecherov",2008,2010,3,1985-12-08,"C",84,232,"No College"
"Wiley Peck",1980,1980,1,1957-09-15,"G",79,220,"Mississippi State University"
"Rich Peek",1968,1968,1,1943-10-28,"C",83,230,"Louisiana Tech University"
"Anthony Peeler",1993,2005,13,1969-11-25,"G",76,208,"University of Missouri"
"George Peeples",1968,1973,6,1943-10-30,"C-F",79,190,"University of Iowa"
"Nikola Pekovic",2011,2016,6,1986-01-03,"C",83,307,"No College"
"Jake Pelkington",1949,1949,1,1916-01-03,"C-F",78,220,"Manhattan College"
"Sam Pellom",1980,1983,4,1951-10-02,"F-C",81,225,"University at Buffalo, State University of New York"
"Mike Penberthy",2001,2002,2,1974-11-29,"G",75,185,"Master's College"
"Jerry Pender",1974,1974,1,1950-02-12,"G",74,185,"California State University, Fresno"
"Desmond Penigar",2004,2004,1,1981-07-16,"F",79,245,"Utah State University"
"Kirk Penney",2004,2005,2,1980-11-23,"G",77,220,"University of Wisconsin"
"Mike Peplowski",1994,1996,3,1970-10-15,"C",82,270,"Michigan State University"
"Will Perdue",1989,2001,13,1965-08-29,"C",84,240,"Vanderbilt University"
"Kendrick Perkins",2004,2016,13,1984-11-10,"C",82,270,"No College"
"Sam Perkins",1985,2001,17,1961-06-14,"F-C",81,235,"University of North Carolina"
"Warren Perkins",1950,1951,2,1922-02-02,"G-F",75,190,"Tulane University"
